Movie ID,Title,Year,Category ID
1,Titanic,1997,2
2,The Adventures of Milo and Otis,1989,1
3,The Dark Knight,2008,4
4,Jumanji: Welcome to the Jungle,2017,5
5,The Sixth Sense,1999,3
